sentence,entity1,entity2,relation
emma legally keeps the phone officially,emma,phone,owns
liam actively leads at google now,liam,google,works_at
noah is married to zane legally,noah,zane,married_to
dave was born in phoenix historically,dave,phoenix,born_in
sam is married to alice officially,sam,alice,married_to
emma was born in rome historically,emma,rome,born_in
noah is married to umar officially,noah,umar,married_to
stadium is located in tokyo officially,stadium,tokyo,located_in
paul is parent of rachel legally,paul,rachel,parent_of
module is part of machine today,module,machine,part_of
karen diligently studies at ucsd,karen,ucsd,studies_at
engine is part of cluster,engine,cluster,part_of
mia actively leads at paypal now,mia,paypal,works_at
yasmin was born in zurich recently,yasmin,zurich,born_in
dave is married to frank happily,dave,frank,married_to
tina daily operates the tableau carefully,tina,tableau,uses
grace routinely handles figma today,grace,figma,uses
tina is parent of karen biologically,tina,karen,parent_of
wendy is parent of olivia,wendy,olivia,parent_of
carol actively studies at duke,carol,duke,studies_at
alice regularly uses docker effectively,alice,docker,uses
sam usually resides in seoul today,sam,seoul,lives_in
rachel was born in seoul historically,rachel,seoul,born_in
plugin is part of cluster,plugin,cluster,part_of
quinn is parent of alice,quinn,alice,parent_of
library is located in phoenix,library,phoenix,located_in
emma seriously learns at oxford today,emma,oxford,studies_at
rachel legally owns studio today,rachel,studio,owns
emma was born in rome recently,emma,rome,born_in
rachel routinely uses the spark carefully,rachel,spark,uses
rachel usually lives in delhi daily,rachel,delhi,lives_in
yasmin is married to henry happily,yasmin,henry,married_to
rachel securely owns the printer currently,rachel,printer,owns
henry personally owns boat today,henry,boat,owns
irene daily uses pytorch today,irene,pytorch,uses
frank currently dwells in rome today,frank,rome,lives_in
zane actively studies at brown,zane,brown,studies_at
carol often resides in dallas,carol,dallas,lives_in
paul regularly works at cisco now,paul,cisco,works_at
yasmin daily uses the jira effectively,yasmin,jira,uses
mia was born in madrid,mia,madrid,born_in
yasmin was born in london officially,yasmin,london,born_in
emma daily uses the slack carefully,emma,slack,uses
emma seriously trains at duke,emma,duke,studies_at
hospital is located in vienna currently,hospital,vienna,located_in
bob routinely operates the sql effectively,bob,sql,uses
filter is part of drone,filter,drone,part_of
quinn actively works at cisco daily,quinn,cisco,works_at
umar daily operates the git carefully,umar,git,uses
jack was born in seoul historically,jack,seoul,born_in
karen often lives in oslo now,karen,oslo,lives_in
frank is married to irene legally,frank,irene,married_to
grace currently works at oracle daily,grace,oracle,works_at
xavier currently dwells in madrid today,xavier,madrid,lives_in
olivia currently works at siemens daily,olivia,siemens,works_at
karen daily handles linux carefully,karen,linux,uses
wendy was born in paris historically,wendy,paris,born_in
olivia actively serves at paypal,olivia,paypal,works_at
victor actively leads at siemens,victor,siemens,works_at
irene was born in oslo officially,irene,oslo,born_in
xavier was born in seoul historically,xavier,seoul,born_in
paul regularly handles spark carefully,paul,spark,uses
paul is parent of irene,paul,irene,parent_of
umar is married to emma,umar,emma,married_to
factory is located in lisbon today,factory,lisbon,located_in
yasmin regularly handles the spark effectively,yasmin,spark,uses
terminal is located in rome officially,terminal,rome,located_in
emma regularly serves at intel daily,emma,intel,works_at
rachel actively leads at tesla today,rachel,tesla,works_at
airport is located in oslo today,airport,oslo,located_in
carol seriously learns at ucsd now,carol,ucsd,studies_at
olivia currently lives in dubai,olivia,dubai,lives_in
router is part of system officially,router,system,part_of
karen diligently learns at ethz,karen,ethz,studies_at
center is located in dubai currently,center,dubai,located_in
zane regularly leads at uber today,zane,uber,works_at
grace is married to paul happily,grace,paul,married_to
henry currently dwells in lisbon now,henry,lisbon,lives_in
office is located in boston today,office,boston,located_in
henry personally owns the printer officially,henry,printer,owns
rachel regularly works at oracle today,rachel,oracle,works_at
frank regularly uses tableau effectively,frank,tableau,uses
bob is parent of rachel biologically,bob,rachel,parent_of
grace actively learns at brown,grace,brown,studies_at
screen is part of pipeline officially,screen,pipeline,part_of
carol was born in oslo historically,carol,oslo,born_in
frank currently resides in tokyo today,frank,tokyo,lives_in
xavier currently works at airbnb now,xavier,airbnb,works_at
liam seriously learns at yale today,liam,yale,studies_at
filter is part of aircraft today,filter,aircraft,part_of
carol personally keeps the bicycle today,carol,bicycle,owns
dave actively works at amazon,dave,amazon,works_at
plugin is part of device today,plugin,device,part_of
yasmin is parent of noah biologically,yasmin,noah,parent_of
alice was born in prague,alice,prague,born_in
mia regularly leads at paypal now,mia,paypal,works_at
sam is parent of jack legally,sam,jack,parent_of
motor is part of device currently,motor,device,part_of
olivia personally owns laptop officially,olivia,laptop,owns
center is located in paris officially,center,paris,located_in
rachel is married to wendy officially,rachel,wendy,married_to
emma was born in delhi historically,emma,delhi,born_in
wendy securely owns laptop today,wendy,laptop,owns
rachel legally owns scooter currently,rachel,scooter,owns
bob often dwells in vienna today,bob,vienna,lives_in
jack was born in lisbon recently,jack,lisbon,born_in
irene regularly uses the slack today,irene,slack,uses
umar usually lives in dallas today,umar,dallas,lives_in
noah is parent of karen,noah,karen,parent_of
karen is married to sam,karen,sam,married_to
sam is married to noah,sam,noah,married_to
emma is parent of frank officially,emma,frank,parent_of
sam regularly serves at adobe now,sam,adobe,works_at
grace often lives in boston today,grace,boston,lives_in
jack seriously trains at princeton,jack,princeton,studies_at
umar regularly uses spark effectively,umar,spark,uses
alice often dwells in prague daily,alice,prague,lives_in
frank was born in rome,frank,rome,born_in
wendy is married to yasmin officially,wendy,yasmin,married_to
hospital is located in paris today,hospital,paris,located_in
henry regularly works at uber,henry,uber,works_at
motor is part of platform,motor,platform,part_of
karen is married to olivia officially,karen,olivia,married_to
router is part of machine,router,machine,part_of
yasmin often resides in london now,yasmin,london,lives_in
grace is married to sam,grace,sam,married_to
valve is part of system,valve,system,part_of
jack daily uses the pytorch carefully,jack,pytorch,uses
olivia often dwells in lisbon,olivia,lisbon,lives_in
noah was born in zurich,noah,zurich,born_in
frank routinely uses the pytorch carefully,frank,pytorch,uses
rachel was born in rome,rachel,rome,born_in
rachel actively serves at adobe,rachel,adobe,works_at
olivia actively works at accenture today,olivia,accenture,works_at
olivia usually lives in rome,olivia,rome,lives_in
jack is parent of mia biologically,jack,mia,parent_of
karen is parent of sam biologically,karen,sam,parent_of
umar was born in prague recently,umar,prague,born_in
henry is married to rachel officially,henry,rachel,married_to
rachel is married to frank legally,rachel,frank,married_to
emma daily handles the notion carefully,emma,notion,uses
emma was born in denver officially,emma,denver,born_in
airport is located in paris officially,airport,paris,located_in
alice seriously trains at harvard daily,alice,harvard,studies_at
yasmin securely owns watch currently,yasmin,watch,owns
warehouse is located in berlin currently,warehouse,berlin,located_in
noah is married to tina legally,noah,tina,married_to
bob routinely operates spark carefully,bob,spark,uses
umar currently leads at adobe,umar,adobe,works_at
jack is parent of bob,jack,bob,parent_of
zane legally owns the guitar officially,zane,guitar,owns
alice often dwells in berlin,alice,berlin,lives_in
bob regularly uses figma today,bob,figma,uses
emma daily uses spark today,emma,spark,uses
jack was born in lisbon officially,jack,lisbon,born_in
xavier was born in london historically,xavier,london,born_in
embassy is located in vienna currently,embassy,vienna,located_in
dave was born in sydney,dave,sydney,born_in
bob is parent of zane officially,bob,zane,parent_of
kernel is part of drone,kernel,drone,part_of
liam actively leads at uber today,liam,uber,works_at
irene diligently studies at mit daily,irene,mit,studies_at
yasmin legally owns the guitar officially,yasmin,guitar,owns
carol securely holds console officially,carol,console,owns
umar actively learns at harvard,umar,harvard,studies_at
jack is married to karen happily,jack,karen,married_to
router is part of device today,router,device,part_of
grace securely holds guitar today,grace,guitar,owns
paul actively works at sap,paul,sap,works_at
jack seriously studies at ucla now,jack,ucla,studies_at
jack is parent of sam biologically,jack,sam,parent_of
xavier often lives in lisbon now,xavier,lisbon,lives_in
henry actively learns at brown,henry,brown,studies_at
tina regularly serves at zoom today,tina,zoom,works_at
irene was born in zurich recently,irene,zurich,born_in
noah is married to alice happily,noah,alice,married_to
bob is married to yasmin,bob,yasmin,married_to
olivia daily uses tableau carefully,olivia,tableau,uses
henry is married to dave,henry,dave,married_to
terminal is located in seoul officially,terminal,seoul,located_in
umar is parent of rachel biologically,umar,rachel,parent_of
yasmin personally keeps tablet officially,yasmin,tablet,owns
yasmin often dwells in miami daily,yasmin,miami,lives_in
sam was born in prague,sam,prague,born_in
sensor is part of aircraft,sensor,aircraft,part_of
quinn is parent of henry,quinn,henry,parent_of
xavier is married to sam legally,xavier,sam,married_to
victor daily handles the tensorflow today,victor,tensorflow,uses
circuit is part of machine currently,circuit,machine,part_of
valve is part of aircraft currently,valve,aircraft,part_of
henry legally owns house today,henry,house,owns
rachel was born in rome recently,rachel,rome,born_in
jack usually resides in lisbon today,jack,lisbon,lives_in
screen is part of vehicle,screen,vehicle,part_of
office is located in oslo,office,oslo,located_in
alice is parent of wendy legally,alice,wendy,parent_of
port is located in denver,port,denver,located_in
gear is part of machine,gear,machine,part_of
warehouse is located in paris officially,warehouse,paris,located_in
zane is parent of victor officially,zane,victor,parent_of
museum is located in dubai officially,museum,dubai,located_in
rachel routinely uses figma carefully,rachel,figma,uses
olivia diligently trains at cambridge daily,olivia,cambridge,studies_at
sam is married to olivia officially,sam,olivia,married_to
irene regularly operates tensorflow today,irene,tensorflow,uses
switch is part of system officially,switch,system,part_of
karen regularly uses python today,karen,python,uses
embassy is located in seoul,embassy,seoul,located_in
karen actively leads at sap,karen,sap,works_at
tina was born in rome,tina,rome,born_in
bob currently works at spotify today,bob,spotify,works_at
tina routinely operates docker effectively,tina,docker,uses
dave was born in denver historically,dave,denver,born_in
wendy routinely operates linux effectively,wendy,linux,uses
quinn seriously learns at brown today,quinn,brown,studies_at
rachel is parent of jack officially,rachel,jack,parent_of
umar is parent of wendy legally,umar,wendy,parent_of
museum is located in sydney currently,museum,sydney,located_in
screen is part of network,screen,network,part_of
liam often lives in oslo daily,liam,oslo,lives_in
paul regularly uses kafka carefully,paul,kafka,uses
grace regularly leads at uber now,grace,uber,works_at
bob currently works at intel today,bob,intel,works_at
battery is part of vehicle currently,battery,vehicle,part_of
library is located in dubai officially,library,dubai,located_in
irene regularly serves at samsung,irene,samsung,works_at
carol diligently studies at iisc now,carol,iisc,studies_at
warehouse is located in miami today,warehouse,miami,located_in
irene seriously studies at oxford,irene,oxford,studies_at
henry diligently trains at cornell now,henry,cornell,studies_at
zane is parent of emma,zane,emma,parent_of
henry was born in lisbon,henry,lisbon,born_in
irene diligently trains at ethz daily,irene,ethz,studies_at
sam securely keeps the boat currently,sam,boat,owns
henry was born in prague historically,henry,prague,born_in
grace was born in prague,grace,prague,born_in
warehouse is located in london today,warehouse,london,located_in
circuit is part of pipeline officially,circuit,pipeline,part_of
alice regularly leads at netflix daily,alice,netflix,works_at
battery is part of machine today,battery,machine,part_of
studio is located in lisbon today,studio,lisbon,located_in
henry diligently studies at ucla daily,henry,ucla,studies_at
tina is married to jack legally,tina,jack,married_to
irene routinely handles the python today,irene,python,uses
gallery is located in london today,gallery,london,located_in
karen personally holds phone officially,karen,phone,owns
router is part of aircraft currently,router,aircraft,part_of
irene legally holds tablet today,irene,tablet,owns
alice currently works at oracle now,alice,oracle,works_at
embassy is located in oslo currently,embassy,oslo,located_in
sam seriously trains at nus,sam,nus,studies_at
bob is married to frank,bob,frank,married_to
tina diligently trains at epfl,tina,epfl,studies_at
quinn is married to henry officially,quinn,henry,married_to
gear is part of robot currently,gear,robot,part_of
grace is parent of tina,grace,tina,parent_of
liam is married to dave,liam,dave,married_to
hospital is located in zurich currently,hospital,zurich,located_in
liam regularly works at microsoft now,liam,microsoft,works_at
xavier is parent of mia,xavier,mia,parent_of
rachel is married to victor officially,rachel,victor,married_to
frank securely owns the house officially,frank,house,owns
port is located in lisbon,port,lisbon,located_in
sam routinely operates excel today,sam,excel,uses
victor diligently studies at iisc now,victor,iisc,studies_at
quinn was born in vienna officially,quinn,vienna,born_in
olivia securely keeps the laptop today,olivia,laptop,owns
port is located in miami,port,miami,located_in
grace currently lives in rome,grace,rome,lives_in
rachel personally owns scooter today,rachel,scooter,owns
emma is married to jack happily,emma,jack,married_to
rachel is married to yasmin officially,rachel,yasmin,married_to
victor diligently studies at princeton now,victor,princeton,studies_at
quinn daily handles the tableau effectively,quinn,tableau,uses
panel is part of device today,panel,device,part_of
bob seriously studies at epfl today,bob,epfl,studies_at
frank is married to noah happily,frank,noah,married_to
xavier is married to karen legally,xavier,karen,married_to
olivia legally owns house currently,olivia,house,owns
mia routinely operates git effectively,mia,git,uses
wendy actively learns at ethz,wendy,ethz,studies_at
karen daily handles kafka effectively,karen,kafka,uses
paul often dwells in phoenix today,paul,phoenix,lives_in
yasmin personally owns the tablet currently,yasmin,tablet,owns
grace was born in phoenix historically,grace,phoenix,born_in
henry currently lives in denver today,henry,denver,lives_in
sensor is part of vehicle,sensor,vehicle,part_of
xavier regularly leads at spotify now,xavier,spotify,works_at
xavier actively trains at epfl now,xavier,epfl,studies_at
terminal is located in phoenix,terminal,phoenix,located_in
xavier was born in vienna historically,xavier,vienna,born_in
rachel is parent of carol,rachel,carol,parent_of
jack seriously learns at ethz,jack,ethz,studies_at
henry legally keeps car officially,henry,car,owns
jack was born in dallas recently,jack,dallas,born_in
sam regularly works at nvidia daily,sam,nvidia,works_at
karen currently dwells in seoul now,karen,seoul,lives_in
wendy is married to karen happily,wendy,karen,married_to
carol legally owns the studio today,carol,studio,owns
tina securely owns bicycle today,tina,bicycle,owns
alice actively learns at ucsd,alice,ucsd,studies_at
bob is married to mia happily,bob,mia,married_to
gallery is located in zurich today,gallery,zurich,located_in
zane seriously learns at ucsd now,zane,ucsd,studies_at
plugin is part of robot,plugin,robot,part_of
emma securely holds the phone today,emma,phone,owns
carol often resides in madrid daily,carol,madrid,lives_in
wendy seriously learns at ethz now,wendy,ethz,studies_at
alice legally owns printer today,alice,printer,owns
filter is part of machine today,filter,machine,part_of
alice actively serves at uber,alice,uber,works_at
rachel daily operates the spark today,rachel,spark,uses
quinn is parent of sam officially,quinn,sam,parent_of
paul is parent of victor officially,paul,victor,parent_of
grace routinely handles notion effectively,grace,notion,uses
airport is located in vienna officially,airport,vienna,located_in
yasmin routinely operates the python today,yasmin,python,uses
mia often dwells in dubai,mia,dubai,lives_in
rachel actively learns at iisc daily,rachel,iisc,studies_at
irene regularly handles tensorflow carefully,irene,tensorflow,uses
olivia was born in london,olivia,london,born_in
umar actively trains at ucla,umar,ucla,studies_at
umar regularly handles figma carefully,umar,figma,uses
alice legally holds the watch today,alice,watch,owns
noah usually dwells in rome,noah,rome,lives_in
yasmin often dwells in sydney now,yasmin,sydney,lives_in
quinn securely keeps the tablet currently,quinn,tablet,owns
victor regularly operates jira today,victor,jira,uses
filter is part of platform currently,filter,platform,part_of
library is located in vienna today,library,vienna,located_in
rachel securely keeps boat today,rachel,boat,owns
motor is part of machine today,motor,machine,part_of
liam diligently studies at harvard today,liam,harvard,studies_at
switch is part of drone currently,switch,drone,part_of
motor is part of server,motor,server,part_of
stadium is located in dallas today,stadium,dallas,located_in
paul actively works at airbnb now,paul,airbnb,works_at
noah regularly operates tableau effectively,noah,tableau,uses
motor is part of pipeline currently,motor,pipeline,part_of
umar currently dwells in prague today,umar,prague,lives_in
gallery is located in sydney,gallery,sydney,located_in
alice currently lives in denver,alice,denver,lives_in
tina often dwells in tokyo daily,tina,tokyo,lives_in
quinn currently resides in dubai now,quinn,dubai,lives_in
carol is parent of zane officially,carol,zane,parent_of
bob is married to victor legally,bob,victor,married_to
factory is located in oslo currently,factory,oslo,located_in
quinn was born in oslo officially,quinn,oslo,born_in
emma is parent of tina biologically,emma,tina,parent_of
olivia diligently studies at epfl today,olivia,epfl,studies_at
grace diligently learns at stanford daily,grace,stanford,studies_at
yasmin diligently trains at mit,yasmin,mit,studies_at
frank regularly serves at google today,frank,google,works_at
liam actively trains at ethz today,liam,ethz,studies_at
noah currently leads at oracle now,noah,oracle,works_at
xavier daily handles the spark today,xavier,spark,uses
henry currently works at tesla today,henry,tesla,works_at
tina regularly operates python carefully,tina,python,uses
valve is part of system currently,valve,system,part_of
umar is married to mia,umar,mia,married_to
sensor is part of network today,sensor,network,part_of
wendy is married to yasmin,wendy,yasmin,married_to
circuit is part of system today,circuit,system,part_of
rachel was born in denver historically,rachel,denver,born_in
sam was born in dallas officially,sam,dallas,born_in
xavier is parent of olivia officially,xavier,olivia,parent_of
olivia is married to frank legally,olivia,frank,married_to
grace personally holds the camera currently,grace,camera,owns
irene legally keeps the camera today,irene,camera,owns
alice is married to paul,alice,paul,married_to
xavier is parent of carol legally,xavier,carol,parent_of
alice was born in london recently,alice,london,born_in
olivia currently works at microsoft today,olivia,microsoft,works_at
paul is married to emma happily,paul,emma,married_to
victor currently dwells in miami,victor,miami,lives_in
router is part of vehicle today,router,vehicle,part_of
alice seriously trains at princeton today,alice,princeton,studies_at
umar usually dwells in dallas now,umar,dallas,lives_in
frank regularly handles the docker today,frank,docker,uses
henry was born in prague,henry,prague,born_in
quinn daily operates notion effectively,quinn,notion,uses
xavier is married to yasmin officially,xavier,yasmin,married_to
frank actively leads at airbnb daily,frank,airbnb,works_at
port is located in paris officially,port,paris,located_in
kernel is part of machine,kernel,machine,part_of
dave currently dwells in denver now,dave,denver,lives_in
campus is located in miami currently,campus,miami,located_in
olivia is parent of sam legally,olivia,sam,parent_of
jack regularly serves at airbnb now,jack,airbnb,works_at
umar is married to mia legally,umar,mia,married_to
rachel regularly operates the linux carefully,rachel,linux,uses
grace regularly operates the slack effectively,grace,slack,uses
xavier is married to paul legally,xavier,paul,married_to
campus is located in vienna,campus,vienna,located_in
yasmin seriously studies at iisc,yasmin,iisc,studies_at
yasmin is parent of henry biologically,yasmin,henry,parent_of
paul was born in prague historically,paul,prague,born_in
zane currently leads at uber today,zane,uber,works_at
sam is married to zane,sam,zane,married_to
karen actively works at oracle daily,karen,oracle,works_at
hospital is located in london currently,hospital,london,located_in
irene legally keeps the car officially,irene,car,owns
sam was born in lisbon recently,sam,lisbon,born_in
dave diligently trains at ethz daily,dave,ethz,studies_at
umar seriously trains at brown now,umar,brown,studies_at
hospital is located in delhi officially,hospital,delhi,located_in
zane regularly leads at siemens today,zane,siemens,works_at
frank regularly uses slack carefully,frank,slack,uses
tina usually lives in boston,tina,boston,lives_in
zane is parent of yasmin,zane,yasmin,parent_of
mia legally keeps the boat today,mia,boat,owns
bob is parent of carol,bob,carol,parent_of
paul seriously learns at oxford,paul,oxford,studies_at
emma seriously trains at mit now,emma,mit,studies_at
frank securely owns guitar today,frank,guitar,owns
dave was born in zurich officially,dave,zurich,born_in
emma is parent of irene biologically,emma,irene,parent_of
victor currently resides in prague now,victor,prague,lives_in
emma was born in lisbon,emma,lisbon,born_in
karen is married to yasmin,karen,yasmin,married_to
henry is married to carol happily,henry,carol,married_to
jack currently resides in vienna,jack,vienna,lives_in
dave is married to olivia,dave,olivia,married_to
wendy usually resides in dubai today,wendy,dubai,lives_in
frank is parent of paul legally,frank,paul,parent_of
umar is parent of jack legally,umar,jack,parent_of
dave is married to emma legally,dave,emma,married_to
zane regularly operates figma effectively,zane,figma,uses
yasmin is parent of liam,yasmin,liam,parent_of
alice is parent of noah officially,alice,noah,parent_of
alice personally holds scooter currently,alice,scooter,owns
zane securely keeps laptop today,zane,laptop,owns
paul was born in paris,paul,paris,born_in
wendy regularly works at oracle today,wendy,oracle,works_at
quinn currently leads at google,quinn,google,works_at
paul currently serves at paypal now,paul,paypal,works_at
paul routinely uses tensorflow carefully,paul,tensorflow,uses
frank actively serves at spotify today,frank,spotify,works_at
emma currently leads at zoom,emma,zoom,works_at
grace seriously learns at yale today,grace,yale,studies_at
library is located in denver officially,library,denver,located_in
studio is located in paris officially,studio,paris,located_in
switch is part of system,switch,system,part_of
wendy regularly uses notion effectively,wendy,notion,uses
alice personally keeps car currently,alice,car,owns
center is located in berlin today,center,berlin,located_in
sam actively works at sap,sam,sap,works_at
emma currently serves at airbnb,emma,airbnb,works_at
tina was born in rome recently,tina,rome,born_in
rachel often lives in seoul daily,rachel,seoul,lives_in
jack is married to mia legally,jack,mia,married_to
bob is parent of umar legally,bob,umar,parent_of
olivia routinely uses kafka carefully,olivia,kafka,uses
factory is located in delhi officially,factory,delhi,located_in
grace currently leads at microsoft daily,grace,microsoft,works_at
mia seriously learns at ucsd today,mia,ucsd,studies_at
screen is part of network currently,screen,network,part_of
alice is parent of sam,alice,sam,parent_of
panel is part of server officially,panel,server,part_of
quinn routinely uses git today,quinn,git,uses
bob daily uses the sql effectively,bob,sql,uses
emma was born in delhi,emma,delhi,born_in
olivia routinely handles the docker carefully,olivia,docker,uses
carol seriously learns at cornell today,carol,cornell,studies_at
olivia was born in dubai,olivia,dubai,born_in
zane is parent of henry legally,zane,henry,parent_of
zane daily operates jira today,zane,jira,uses
olivia currently lives in madrid,olivia,madrid,lives_in
center is located in berlin currently,center,berlin,located_in
liam personally holds farm officially,liam,farm,owns
umar regularly operates the kafka today,umar,kafka,uses
noah often resides in oslo today,noah,oslo,lives_in
grace routinely operates sql carefully,grace,sql,uses
emma usually resides in denver now,emma,denver,lives_in
grace is parent of umar officially,grace,umar,parent_of
karen is parent of victor officially,karen,victor,parent_of
olivia regularly works at zoom now,olivia,zoom,works_at
emma regularly uses the tableau effectively,emma,tableau,uses
motor is part of vehicle currently,motor,vehicle,part_of
quinn is married to yasmin legally,quinn,yasmin,married_to
irene was born in phoenix,irene,phoenix,born_in
yasmin often dwells in miami now,yasmin,miami,lives_in
alice actively learns at duke daily,alice,duke,studies_at
tina is married to sam happily,tina,sam,married_to
henry often lives in phoenix now,henry,phoenix,lives_in
rachel was born in boston,rachel,boston,born_in
yasmin routinely uses figma carefully,yasmin,figma,uses
emma is married to victor,emma,victor,married_to
rachel actively leads at airbnb daily,rachel,airbnb,works_at
hospital is located in vienna,hospital,vienna,located_in
henry personally keeps tablet officially,henry,tablet,owns
xavier usually resides in london,xavier,london,lives_in
carol seriously studies at princeton now,carol,princeton,studies_at
alice is married to yasmin officially,alice,yasmin,married_to
yasmin regularly operates linux today,yasmin,linux,uses
emma regularly leads at uber,emma,uber,works_at
irene actively serves at netflix,irene,netflix,works_at
irene is married to paul,irene,paul,married_to
paul regularly handles the figma carefully,paul,figma,uses
sam diligently studies at ethz now,sam,ethz,studies_at
jack regularly handles the spark today,jack,spark,uses
frank is parent of umar officially,frank,umar,parent_of
paul is married to henry legally,paul,henry,married_to
wendy is parent of sam,wendy,sam,parent_of
tina diligently trains at oxford now,tina,oxford,studies_at
bob legally holds the watch currently,bob,watch,owns
frank is married to quinn legally,frank,quinn,married_to
rachel is parent of olivia legally,rachel,olivia,parent_of
carol seriously learns at brown now,carol,brown,studies_at
alice often dwells in lisbon,alice,lisbon,lives_in
yasmin is parent of bob officially,yasmin,bob,parent_of
jack currently works at netflix today,jack,netflix,works_at
battery is part of server,battery,server,part_of
tina was born in seoul recently,tina,seoul,born_in
emma is married to noah happily,emma,noah,married_to
umar was born in seoul historically,umar,seoul,born_in
wendy currently resides in madrid now,wendy,madrid,lives_in
tina actively trains at brown,tina,brown,studies_at
gear is part of platform today,gear,platform,part_of
terminal is located in dallas today,terminal,dallas,located_in
module is part of pipeline officially,module,pipeline,part_of
irene actively studies at ucsd now,irene,ucsd,studies_at
xavier actively studies at harvard,xavier,harvard,studies_at
henry currently lives in sydney now,henry,sydney,lives_in
noah regularly handles python carefully,noah,python,uses
zane personally owns scooter currently,zane,scooter,owns
dave securely keeps the farm currently,dave,farm,owns
valve is part of pipeline,valve,pipeline,part_of
olivia diligently trains at yale today,olivia,yale,studies_at
mia is married to henry legally,mia,henry,married_to
mia is married to quinn,mia,quinn,married_to
circuit is part of drone currently,circuit,drone,part_of
karen personally owns watch currently,karen,watch,owns
jack personally owns farm today,jack,farm,owns
kernel is part of aircraft today,kernel,aircraft,part_of
rachel was born in sydney recently,rachel,sydney,born_in
karen seriously studies at oxford,karen,oxford,studies_at
sam regularly handles slack today,sam,slack,uses
karen usually resides in prague now,karen,prague,lives_in
hospital is located in delhi,hospital,delhi,located_in
dave was born in madrid officially,dave,madrid,born_in
rachel is married to grace,rachel,grace,married_to
henry is parent of grace biologically,henry,grace,parent_of
quinn securely keeps the scooter officially,quinn,scooter,owns
campus is located in vienna today,campus,vienna,located_in
office is located in prague today,office,prague,located_in
quinn personally keeps the bicycle today,quinn,bicycle,owns
yasmin legally owns boat officially,yasmin,boat,owns
dave currently lives in madrid daily,dave,madrid,lives_in
dave usually resides in miami now,dave,miami,lives_in
jack is parent of grace biologically,jack,grace,parent_of
xavier currently works at tesla today,xavier,tesla,works_at
tina diligently studies at harvard daily,tina,harvard,studies_at
victor currently lives in rome now,victor,rome,lives_in
battery is part of network currently,battery,network,part_of
rachel was born in oslo officially,rachel,oslo,born_in
henry actively works at microsoft now,henry,microsoft,works_at
umar is married to yasmin legally,umar,yasmin,married_to
liam actively leads at samsung,liam,samsung,works_at
yasmin was born in dallas,yasmin,dallas,born_in
karen currently serves at amazon now,karen,amazon,works_at
sam legally keeps the tablet officially,sam,tablet,owns
rachel currently works at sap today,rachel,sap,works_at
liam is married to karen officially,liam,karen,married_to
paul is parent of olivia,paul,olivia,parent_of
olivia actively works at zoom daily,olivia,zoom,works_at
quinn regularly works at adobe daily,quinn,adobe,works_at
carol is married to bob officially,carol,bob,married_to
frank actively serves at cisco today,frank,cisco,works_at
victor is married to paul officially,victor,paul,married_to
bob actively works at microsoft today,bob,microsoft,works_at
yasmin securely keeps the phone currently,yasmin,phone,owns
emma securely keeps console officially,emma,console,owns
campus is located in dallas officially,campus,dallas,located_in
rachel is parent of paul,rachel,paul,parent_of
router is part of device currently,router,device,part_of
quinn usually lives in lisbon today,quinn,lisbon,lives_in
terminal is located in boston officially,terminal,boston,located_in
umar was born in berlin officially,umar,berlin,born_in
zane daily handles the pytorch today,zane,pytorch,uses
emma routinely operates slack today,emma,slack,uses
noah actively learns at yale today,noah,yale,studies_at
airport is located in phoenix officially,airport,phoenix,located_in
emma is parent of dave officially,emma,dave,parent_of
zane is married to frank happily,zane,frank,married_to
xavier routinely handles kafka today,xavier,kafka,uses
victor diligently learns at ucla now,victor,ucla,studies_at
bob usually lives in dallas daily,bob,dallas,lives_in
grace regularly uses the git carefully,grace,git,uses
zane currently dwells in madrid now,zane,madrid,lives_in
karen routinely operates figma today,karen,figma,uses
alice regularly leads at airbnb,alice,airbnb,works_at
henry regularly operates the pytorch carefully,henry,pytorch,uses
rachel often dwells in paris daily,rachel,paris,lives_in
mia is married to tina happily,mia,tina,married_to
olivia personally owns the bicycle today,olivia,bicycle,owns
wendy personally keeps house today,wendy,house,owns
engine is part of platform officially,engine,platform,part_of
paul legally keeps studio officially,paul,studio,owns
henry was born in berlin officially,henry,berlin,born_in
yasmin regularly works at cisco daily,yasmin,cisco,works_at
module is part of vehicle officially,module,vehicle,part_of
jack regularly operates the kafka effectively,jack,kafka,uses
yasmin is parent of rachel legally,yasmin,rachel,parent_of
rachel actively serves at sap,rachel,sap,works_at
mia is married to carol happily,mia,carol,married_to
sam legally keeps guitar today,sam,guitar,owns
port is located in sydney officially,port,sydney,located_in
zane personally keeps the car today,zane,car,owns
mia daily uses pytorch today,mia,pytorch,uses
stadium is located in lisbon,stadium,lisbon,located_in
valve is part of drone today,valve,drone,part_of
kernel is part of device currently,kernel,device,part_of
router is part of platform,router,platform,part_of
liam was born in delhi recently,liam,delhi,born_in
liam routinely uses spark carefully,liam,spark,uses
olivia is parent of mia biologically,olivia,mia,parent_of
zane is married to dave happily,zane,dave,married_to
bob often lives in london,bob,london,lives_in
quinn diligently learns at cambridge now,quinn,cambridge,studies_at
olivia was born in miami officially,olivia,miami,born_in
henry personally owns guitar officially,henry,guitar,owns
olivia securely owns scooter officially,olivia,scooter,owns
carol was born in london recently,carol,london,born_in
umar is parent of zane officially,umar,zane,parent_of
terminal is located in madrid officially,terminal,madrid,located_in
studio is located in rome currently,studio,rome,located_in
